78,i received a sample of this.
160,got this as a sample
169,"i chose ""fair"" after getting a sample of the ""medium"""
216,can't comment on its other benefits as i only received a sample
385,i only got this as a sample in my sephora play
501,i received a sample of this item in medium.
601,received a sample in play!
681,i got a sample of medium with my sephora order.
810,i received a sample with my play!
861,received as a free sample
901,i tried this today from a sample i received
970,i received a sample of this with an order
1079,i got it as a sample
1097,i received a sample of this
1304,i received a sample of it
1446,i got it as a sample
1457,i tried a sample from my local sephora store in fair
1630,so glad i got this as a sample.
1646,i got this as a sample
1918,i got a free sample of this in a shipment
1956,i got a small sample of this with another purchase i had made
2300,i got a sample with my points
2443,i received this as a sample and fell in love.
2648,i got this as a sample with my modern renaissance palette in the shade medium
2670,i got a sample in my play!
2751,i received a large sample of this product
2762,i got a medium color sample with was really cool
3011,i got a sample of this
3058,i received a sample in my play box-
3086,i highly recommend testing this product out before you buy by getting a sample
3110,the amount given is maybe a deluxe sample size
3289,get a sample a try it out!
3447,i got this in a sample and fell in love.
3519,i got this as a sample
3583,i tried a few samples
3690,i tried this as a sample
3715,i received a sample in this
3891,received this as a sample size
3949,i received this as a gratis sample from sephora for the introduction of it cosmetics
4028,i received this deluxe sample
4234,buy the sample size
4447,i got a sample of this in my sephora play box.
4495,i received a sample size of this
4521,the little sample package i got i've used four days in a row
4562,i got a sample from sephora
4775,picked up a sample of this
5009,got the sample size
5023,i got a sample in my play box this past month
5604,i got the sample size
5660,try the small sample size
5930,one try of a sample and i was hooked!
6036,i received the medium shade as a sample recently.
6272,i got this foundation in a sample size
6283,i came across this as a sample
6582,ever since i tried the sample i had to buy full size
6584,i received a sample of this in the medium shade.
6676,i received a deluxe sample of this
6687,i received a sample of this
6824,i got two samples of this
6836,i got a sample of this
7780,sk-ii did provide this product free for testing purposes
7800,im only using it because i received a free sample
7809,the sample i received has lasted about a month.
7980,i received a bottle of this for free courtesy of a bzzagent campaign
8129,i received this product for free from sk-ii in return for an honest review
8187,i received a free product to try from skii for an honest review
8249,i received a free sample from sk-ii of the facial treatment essence
8250,i received a free sample from sk-ii.
8320,i received this as a sample
8366,i received a small bottle of this
8434,i got this as a sample
8505,"was super excited to try the sample included in the sephora favorites ""soko to tokyo"" set"
8512,i used this for the first time because i received a sample
8540,i received a nice sized bottle of this in a monthly sample box
8586,i received a sample of this product
8700,***note: i received this product for free as a promotion from the br
8858,got this was a sample.
8887,i fell in love with it when i got a deluxe sample
9155,i finally got a sample
9216,i received a sample of this.
9233,i received a sample of this.
9663,i tried a few samples of sk-ii products before deciding to purchase this full size
9767,i tried a sample of this
10026,got this in a sample size
10130,i received a sample of this
10191,i got it as a sample
10200,i got a sample of this in my play bag
10207,i received a sample size of this in my january sephora play
10238,then i got a deluxe promo sample to try
10346,i originally got it as a sample
10525,i got this as a sample in my play!
10551,i got a sample of this one
10589,i received this as a deluxe sample
10647,i got this as a sample in my play!
10724,i got a sample of this one
10931,i received a small sample in my play box
11008,i received this sample in the january sephora play
11059,i should've gotten a sample... so disappointed.
11132,lala retro was the best deluxe sample that i've ever got from sephora
11187,received this as a sample
11213,i tried a sample of this moisturizer
11218,i got a little sample of this
11290,tried a sample of this for winter time
11532,tried this as a deluxe sample.
11711,i did try a sample of this
11821,i started with a deluxe sample from sephora
12054,definitely get the sample one though
12165,i got a sample before h
12222,i got a sample of this
12309,i do recommend try a sample first!
12459,got a deluxe sample of this a while ago
12538,got a generous sample of this
12583,i got this as a sample online
12595,i tried tons of samples
12706,i got this as a sample
12916,i just received this as part of a deluxe sample with my online order
13084,after i tried as a sample i was hooked
13087,i received the aqua bomb deluxe sample
13088,a sample of the hungarian water essence with my points last year
13120,i got a sample of this a while ago
13165,i got a sample of this cream
13189,i first received this product as a sample gift during my birthday month over a year ago
13202,i received this as a sample after hearing great reviews
13207,i got this sample in my sephora play box
13226,i used up a sample
13276,sephora gave me a sample of the aqua bomb to try
13320,i received a sample in my sephora box.
13331,i got a sample in my play box
13364,i got a mini sample of this a couple months ago
13422,i got this as a sample
13487,i received multiple samples for the aqua bomb.
13510,i received a sample of this
13531,i received aqua bomb as a sample
13540,i got this as a sample
13572,i first received this as a sample over the summer
13580,turned in some points for a deluxe sample size for my upcoming vacation
13597,i got a sample of this and really liked it.
13609,after 2 sample sizes i went to  sephora a purchased the $38 jar
13641,i got this in a sample size and loved it.
13658,i got the sample of this bomb
13666,i got this on the sephora box as a sample
13690,i got a deluxe sample of this
13716,then i got this as a sample
13763,i got this and another as samples to try.
13799,received a sample of this product
13805,i received a sample of this product
13851,the free sample i received had only a generous smear inside
13909,until i got a sample size of this.
13914,purchased after receiving 2 deluxe samples.
13927,i got this as a free sample
13939,i received the small sample aize jar in one of my play
13957,got it as a sample
14012,received a larger sample in my play box
14030,after getting a sample of this
14035,i got this originally as a sample from sephora.
14064,i definitely recommend at least getting a sample
14084,i received this as a sample
14122,i got this as a sample from sephora
14132,i sephora employee gave me a sample of this
14156,i got it as a sample
14250,i received a sample size of this product
14254,i got this as a sample
14262,i got this as a sample
14284,got a deluxe sample in my play!
14374,i got the samples first to try it
14412,i used the sample first
14434,i got a sample of this moisturizer after visiting sephora a few months ago
14444,i first got this as a deluxe sample
14477,i started using this back in september after i received a sample
14529,i always grab a sample of this when its an option
14531,i typically use the entire sample packet on my face
14542,i received a deluxe sample on one of my sephora orders
14566,had this as a sample.
14587,i received this as a sample
14600,i received this product as a free sample about a month ago
14629,i received a sample in my playbox for october.
14653,i got this in the sample size-
14675,i received this product as a free sample
14689,last time was in nyc i was given a sample of this
14700,originally got this as a sample
14729,i got a sample of this and i'm in love!
14853,i received a deluxe sample of this product two months ago
14917,i finally bought this gel-cream after going through two deluxe sized samples
15016,i got this as a sample
15018,received this as a sample
15031,i received a sample of this stuff
15160,one deluxe sized sample
15179,i got this moisturizer as a deluxe sample
15186,i received a deluxe sample size in one of sephora's sample bags with my purchase
15198,received a sample of this moisturizer
15223,i first tried it as a sample
15268,34oz sample i had a week to try this out
15351,i got a sample of the moisturizing bomb
15356,received as a deluxe sample
15378,got this as a sample
15382,i got this originally as a free sample---
15399,i got this as a sample
15405,i selected a sample of aqua bomb
15409,i received a sample of this in a korean skincare box
15427,i first tried this product in a sample size when it was available for rewards points
15554,i received a deluxe sample of this moisturizer to give it a try
15563,i received a sample for it
15582,which i received as a sample
15597,i received this as a sample.
15785,i received this moisturizer as a delux sample a few months ago
15938,i received a sample in my ipsy bag.
16027,got this as a sample.
16153,i got a free sample of this cream
16298,i tried the sample
16321,i got this as a sample
16341,i've only received a small sample i was able to stretch out to three uses
16344,i received a sample and loved it.
16439,i received belif aqua bomb as a sample
16450,i received a sample of this
16530,i tried out a sample first then purchased the full size
16549,i used the sample during the summer time
16600,got a deluxe sample size in my october play!
16620,"i received a sample of this, and i was hooked."
16640,i originally got it as a sample
16643,i received this as a sample
16660,i got this as a free sample.
16788,i received this cream as a sample.
16805,i got the aqua bomb in a sample size awhile ago
16831,i got it as a sample from online purchase
16888,i received a sample of this
16891,i received a sample in my sephora play box
16945,recently purchased after i was given a sample.
16966,i got this product as a deluxe sample.
16976,i received a sample of this with an online purchase at sephora
17013,i received samples that im using up
17015,i received this as a sample with a previous purchase
17020,i originally got this as a sample in my sephora play box
17049,i got a sample size of this in a holiday set
17132,i got a sample of this moisturizer with a purchase
17156,i received it in the store as a sample
17161,i got a sample of this and was not disappointed.
17172,i got this as a sample
17204,i got a sample size of this with my purchase
17234,i tried a sample of this for about a month
17269,i got it as a free sample
17289,got this as a free sample
17340,i received a sample of this product
17438,i received this as a sample
17473,i got this sample in my sephora play box
17529,i got a 10ml sample of this with my points.
17569,i started with a sample
17587,i received an in store sample of this product.
17603,got this as a sample
17684,i got this as a sample
17737,i got this as a promo sample
17834,didn't like this at all got the sample
17840,i received this as a sample from sephora
17849,i got a sample of this
17859,i received a sample of this a few months ago
17884,i got this as a free sample
17892,then tried the deluxe sample
17908,i kept trying sample after sample
17922,got this as a sample
17935,i received this as a free sample from sephora.
17948,i only got this as a sample
18029,i got a sample because the lady suggested it.
18088,i received a tiny sample of this
18102,to make sure the sample packet wasn’t a fluke i got two large sample sizes
18113,i love that a mini version is available for purchase
18114,i received a sample of this
18154,i got a sample of this
18211,once i ran out of the sample
18263,i used points for a deluxe sample of this product
18276,i got this as a sample with some stuff i ordered online
18366,i received this as a sample
18387,i started using this from the samples from sephora
18396,i would try to get a sample first
18408,i got a small sample of this just to try
18422,i received a sample with an online order
18490,i got this as a sample
18672,i received a sample of this and oh my goodness!
18725,recieved this as a sample
18753,i got a deluxe sample from beauy insider rewards.
18856,i came across aqua bomb on a sample
18889,had a deluxe sample available--i ordered it
18944,i got a few samples of this product
18968,i got a sample of it
18973,i got a sample of it for 100 point gift
19041,received an aquabomb sample in my latest sephora order
19065,i got a sample of this in one of my sephora orders
19123,i got this as a sample
19191,picked up the deluxe sample
19257,i received a sample in my play!
19336,i got a small sample of this product
19376,i suggest trying a sample before committing
19386,i got this stuff as a sample
19508,i received several large samples of this cream
19523,i received this as a sample in one of my order
19572,i got this as a sample
19620,i got it first as a sample
19633,i tried a deluxe sample of this
19728,i chose this as a sample as i am shopping around for a new moisturizer
19786,i first received this product as a sample with an order i placed
19828,i received a small sample of this cream.
19862,i got a sample of it
19892,once i tried samples of this
19903,i chose a sample size of this moisturizer as a vib reward
19928,i got this as a sample
19932,i got a deluxe sample in this
19943,i got a little sample from my online purchases
19952,i received a sample of this when i made an order last week
19957,the sample i could've been used for 2 nights
19977,i received a 2 week sample of this
20019,got this as a sample.
20045,i got a sample of this a few months back
20069,i received a sample of this
20239,i originally got it as a sample
20247,i got this little wonder bomb as a sample
20259,i got this as a free sample
20447,i got the petite sample jar
20478,i actually used my points to get the small sample size
20485,i first got this as a sample
20596,fyy i got a sample of their moisturebomb
20632,got a sample and decided to try.
20654,i will definitely use the rest of my deluxe sample
20662,i got it as a sample in an order
20679,i received the sample size of this.
20683,i received a sample of this in a sephora play box
20689,i first got a sample of this product
20750,i got this as a deluxe sample and love it.
20761,i suggest getting a sample first.
20762,i received a sample of this moisturizer a couple of months ago
20774,i received this product as a free sample
20797,i used points to get a deluxe sample
20824,i got this as a deluxe sample
20844,i got a few samples of this
21007,i got a sample of it
21045,i got this as a sample and was so impressed.
21065,i got this last week as a sample
21082,i got this as a sample.
21120,i got this as a free sample
21142,i just purchased a full size today after having tried multiple samples
21160,i received it as a free sample and loved it.
21215,without trying a sample first
21316,i received this as a sample and i'm a convert.
21488,i got a sample as a 100 point perk
21493,this moisturizer was perfect for my skin type- i used the sample first
21501,once i am done with the sample
21525,it was available as a deluxe sample
21541,i got a sample of this in my sephora play!
21608,i found this when i got the free sample
21623,i got a sample of this cream
21628,i got a sample and then bought the full size.
21641,i received it as a sample.
21676,i received the aqua bomb as a sample with a recent sephora purchase
21745,i got a sample of this
21777,i received a sample with my sukari baby facial
21924,i received a sample of this with a purchase
21980,i got a sample of this
22035,or get a sample from sephora
22051,the sample i got
22145,got this as a free sample with my de sukari babyfacial
22266,i got this as a sample
22306,i chose this as a sample
22350,i am at the end of a sample of this stuff
22417,i got a sample of this product in the skincare bag sephora was giving out recently
22422,i only used the little sample for about a week
22437,i only have a deluxe sample size of this
22505,remembered i had a tiny sample of this de one
22559,this came as a sample size with sukari babyfacial
22569,i got a sample of this and fell in love.
22585,this came as a sample size with sukari babyfacial
22757,i got a sample of this in a bonus
22968,i got a sample of this face oil after wayne goss on youtube reviewed it
23039,i suggest anyone to get a sample!
23211,ordered the sample box
23252,then one day i get this sample and i'm in love.
23257,"i tried a sample of this, which lasted for days."
23362,got a sample after manny mua recommended it.
23486,i received a sample and had to get the full size.
23564,i got this as sample
23689,using the samples for two weeks i decided to splurge on one
23704,i got this as sample
23772,i receive a sample for the d
23799,i got the marula oil as a sample
23874,i got this as a sample from an on-line order
23947,i just received a sample of this a few days ago
23960,received this as a sample.
24068,received this as a sample
24269,i received it as a sample
24278,i just kept the sample container
24351,after receiving a deluxe sample
24357,i tried a sample given to me by an sa
24389,i first used this as a sample
24452,i got a sample of this and love it!
24543,i received a sample of this product
24685,i received a sample of this product in store
24751,i received a deluxe sample of this oil
24801,got a sample in store
24810,enter a deluxe size sample
24843,i would definitely get a sample first though :)
24844,got a deluxe sample of this oil
24904,i received a 5 day sample of this product
24950,i got a sample of this from sephora
25036,i got the 5 day sample
25068,i got a smaller version of this in a sample size
25071,i tried this as a 5 day sample i revived in a previous order
25208,i received a deluxe sample of luna
25253,i first received a 5 day sample
25466,i recently got a deluxe sample of this product
25486,i got the deluxe sample of this oil in my last order
25552,i got a deluxe sample of luna in one of the sephora favorites kits
25599,i initially tried a seven day sample of this oil
25613,i got a sample of it first
25694,i suggest getting a sample first
25766,i got a bottle of this product in the travel sized skincare kit
25954,i got a sample of this
25978,definitely get a sample first
26045,i received a large 7ml sample a while back
26113,i asked for a sample
26115,the sample lasted me 3-4 days
26152,i got this as a deluxe sample
26210,i scoured the web for well examined reviews of this product
26293,i got the deluxe sample
26305,i got this sample in five capsules
26365,good thing i got a sample.
26411,i received this as a sample
26419,i suggest that you all get a sample of this
26483,after my day trial sample
26524,i received a tester of this product
26549,i got this as a free sample with 5 individual doses
26578,i got a deluxe sample of this oil
26689,i received the deluxe sample
26770,i started with a 5 night deluxe sample set
26800,i got a sample bottle first.
26826,i requested a sample from inside the store due to the ratings
26876,i tried a sample of this oil--about three days worth--
26911,i got the pack of 5 little samples
26942,i got a deluxe sample of this
26957,decided to try the sample of the luna
26976,i would definitely recommend trying a sample before purchasing
27051,"i received a sample of this in the sephora favorites
the ultimate travel bag"
27122,i received a sample of this
27165,i received a 5 day sample
27174,i'd recommend getting a sample first
27183,when i used the sample
27205,i tried a sample from my store..lasted 5 nights.
27286,received this as a sample.
27302,"*dance*
i got a sample of this"
27319,i got the 5 little pod sample thing in the mail
27344,i received this night oil as a sample
27372,i only got a sample jar of the product
27388,got a sample of this at sephora
27407,i got a couple of deluxe samples of this oil
27450,i got the 5 night sample
27630,once i got the chance to receive a deluxe sample
27638,i ran out of the sample around 2 weeks ago
27661,i got this as a 5-day sample
27703,tried it as a sample
27738,i got a 5-day sample of this from one of the sephora skincare sampler packs i received with a prior purchase
28038,i received a sample of this
28092,i tried a sample of this product
28111,i got a sample of this
28138,i first used a sample of this before buying the full size
28150,thank goodness i got a sample first before splurging on this product
28163,i got a deluxe sample of this
28206,got a sample and bought it!
28233,i received this as a free gift at a hotel
28290,i even ordered something just to get this as a sample
28428,i got good genes as a sample in the store.
28453,i would highly advise that you get a sample first
28522,i got this as a sample
28659,2 days ago i received a sample pack of five of these oil capsules
28782,i recently picked up a sample of luna
28867,i took a sample home to try
28959,i would get another sample
28988,happy i got the sample before purchasing
29000,i received it as a sample
29065,when i got a deluxe sample of this to use
29146,used a 5-day sample trial.
29350,i try a a sample size for a week
29485,received this product as a sample recently.
29504,i got this oil in a sephora favorite sampler.
29526,i asked for a sample of it
29637,i got it as a deluxe sample
29795,i received a free deluxe sample of this.
29842,then i got this as a deluxe sample
29899,i received a sample of this
29992,i got a sample of this from sephora the other day
30106,as for samples of luna
30208,i received a sample of this and good genes.
30230,i got the deluxe sample of this with my last online purchase
30243,i only got a sample in store
30308,i went back for full size before i finished the sample
30377,i continued to use my sample
30455,i used a couple of samples of this
30479,i got a sample of luna
30483,i hate sephora for sending me this sample.
30492,i received a deluxe sample of this
30537,i received a deluxe sample of this product
30591,i wish i had gotten another large sample.
30594,i got a sample of it
30618,i would definitely recommend trying a sample before purchasing
30651,i tried this initially in a sample
30678,i originally got this as a deluxe sample
30689,i got this as a sample and i'm in love!
30751,i received a 5 day sample.
30796,i received a 5-day sample from sephora
30804,first of all get a sample!
30853,i did receive this very descent sample from my online purchase
30915,i just finished my sample of this
30981,the sephora associate gave me a sample to try
30988,sephora sent me this sample to test it out
31006,i got a deluxe sample
31010,i decided to get a sample
31046,i decided to ask for a sample in store before i took the plunge
31098,when i got a sample of good genes in a sephora favourites kit i was hooked
31157,got as a free sample and am in love.
31233,sample or full size
31436,after using this for a week in a sample i got
31499,try to use this 2x a week
31602,i would recommend a sample prior to purchase since everyone has different skin
31740,after a week's worth of a sample i was in love
32155,went to the store to get a sample
